"",,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",58,23.3,35,14.3,38,14.8,57,16.1,62,17.5
"Path Academy District","=""2930013""","Path Academy","=""2930113""","N/A","N/A","N/A","N/A","N/A","N/A",53,41.4,20,14.9
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""","N/A","*","N/A","*","N/A","*","N/A","N/A","N/A","N/A"
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",97,16.6,81,13.7,52,8.7,64,11.2,72,13.7
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",135,17.6,130,17.8,111,15.9,111,16.0,130,18.5
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",39,9.8,30,7.9,10,2.8,12,3.6,7,2.1
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""","*","*","*","*","N/A","N/A",8,2.0,"*","*"
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",9,2.1,"*","*","*","*","*","*",9,2.1
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",36,6.5,34,6.3,32,6.0,23,4.2,24,4.4
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",72,9.7,70,9.4,56,7.8,87,12.0,98,13.2
"Plainville School District","=""1100011""","Prekindergarten Program","=""1108011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",33,7.6,38,8.9,19,5.0,33,9.2,31,9.1
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""","N/A","N/A","N/A","N/A","*","*","N/A","*","*","*"
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",43,8.5,39,8.0,35,7.4,30,6.4,46,9.5
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",6,1.2,8,1.7,6,1.4,9,2.1,19,4.7
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""","*","*",8,3.3,9,4.1,9,4.2,7,3.2
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""",6,2.7,"*","*","*","*",9,4.6,"*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",33,9.0,36,9.7,25,6.6,30,8.2,28,7.4
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",8,3.4,11,4.8,13,5.3,13,5.5,12,5.5
"Portland School District","=""1130011""","Valley View School","=""1130211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",9,6.7,"*","*","*","*",7,4.3,"*","*"
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""","N/A","N/A",10,3.6,11,4.1,"*","*",7,2.4
"Putnam School District","=""1160011""","Helping Hands","=""1169011""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","*"
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",18,2.6,17,2.5,15,2.2,16,2.4,18,2.9
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",57,18.7,54,18.3,40,14.9,24,9.1,28,9.9
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",47,16.0,44,14.7,34,11.2,33,11.1,32,11.7
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",25,4.2,24,4.3,25,4.8,11,2.2,15,3.2
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""","*","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Regional School District 01","=""2010012""","ALPSS","=""2010512""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",37,8.1,48,11.4,35,8.2,60,15.0,48,11.1
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 01","=""2010012""","SELC","=""2010312""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 01","=""2010012""","TOTAL","=""2010212""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",13,3.8,10,2.8,8,2.3,6,1.8,6,1.9
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",46,7.3,43,6.9,32,5.2,20,3.1,22,3.7
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",6,1.6,6,1.7,"*","*","N/A","N/A",13,3.4
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",11,2.8,6,1.6,"*","*","*","*",8,2.1
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",116,7.1,61,3.8,72,4.6,49,3.2,57,3.8
"Regional School District 06","=""2060012""","Early Childhood Learning Center","=""2068112""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""","N/A","N/A","*","*","*","*",6,4.0,"N/A","N/A"
"Regional School District 06","=""2060012""","James Morris School","=""2060212""","N/A","N/A","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",76,13.8,57,10.5,54,9.7,38,6.7,56,9.8
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","AIM","=""2079112""","*","*","N/A","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","FLEX","=""2079012""","*","*","N/A","*","N/A","*","*","*","N/A","*"
"Regional School District 07","=""2070012""","Highlander Transition Academy","=""2070112""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""","*","*","N/A","*","*","*","N/A","N/A","N/A","N/A"
"Regional School District 07","=""2070012""","LINKS","=""2079212""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Regional School District 07","=""2070012""","Links","=""2079212""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",41,5.8,37,5.3,71,10.0,62,9.2,44,6.1
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",20,5.4,13,3.6,"*","*","*","*",6,1.9
"Regional School District 07","=""2070012""","SAGE","=""3480415""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 07","=""2070012""","STEP","=""2079312""","*","*","N/A","N/A","*","*","N/A","*","N/A","N/A"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",112,9.6,89,7.9,89,8.0,69,6.4,61,6.0
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",35,5.7,39,6.2,24,4.0,21,3.8,11,1.9
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""","N/A","N/A","N/A","*","N/A","*","N/A","N/A","N/A","N/A"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",23,2.3,12,1.2,15,1.4,16,1.5,30,3.0
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",35,3.9,41,4.8,33,4.0,28,3.4,18,2.3
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",74,9.0,56,7.0,52,6.6,47,6.0,30,3.8
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",44,14.6,38,13.3,35,12.0,31,11.4,26,10.8
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""","N/A","N/A","*","*","N/A","N/A","N/A","N/A","*","*"
"Regional School District 12","=""2120012""","Early Childhood Education Center","=""2128012""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",37,12.2,25,7.7,"N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""",12,5.8,"*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""","N/A","N/A","N/A","N/A",38,7.7,35,7.6,33,7.6
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""","N/A","N/A","*","*","N/A","N/A","*","*","N/A","N/A"
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",23,4.0,16,2.8,15,2.6,29,5.2,20,3.6
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",9,2.5,17,5.0,11,3.4,17,5.0,18,5.6
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""","*","*",6,1.8,"*","*","N/A","N/A","N/A","N/A"
"Regional School District 13","=""2130012""","Middlesex Transition Academy","=""2130312""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 14","=""2140012""","Integrated Star Preschool Program","=""2148012""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""","N/A","N/A","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",48,5.9,44,5.5,28,3.5,19,2.5,38,5.1
"Regional School District 14","=""2140012""","Region 14 Transition Academy","=""2140412""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",22,5.2,10,2.5,9,2.4,"*","*","N/A","N/A"
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",7,1.8,"N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",6,1.0,"*","*","*","*","N/A","N/A","*","*"
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",21,4.1,10,2.1,6,1.3,8,1.7,6,1.3
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""","*","*","N/A","N/A","N/A","N/A","*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",98,7.6,92,7.4,86,6.9,93,7.8,96,8.1
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",8,1.6,"*","*",11,2.0,7,1.3,9,1.6
"Regional School District 16","=""2160012""","Algonquin School","=""2160312""","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 16","=""2160012""","Community School","=""2160212""","*","*",6,2.8,"N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",29,5.0,28,5.0,22,3.9,46,8.2,27,4.7
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",9,1.4
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""","*","*","*","*","*","*",6,"*",6,"*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",67,9.2,56,7.7,64,9.1,39,5.8,57,8.3
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""","*","*","N/A","N/A","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",52,7.9,39,6.2,20,3.3,37,5.9,33,5.3
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",54,7.1,52,6.7,64,8.0,36,4.7,37,4.9
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Regional School District 18","=""2180012""","Center School","=""2180312""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""","*","*","*","*","*","*","N/A","N/A","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",31,7.5,11,2.6,18,4.2,20,4.5,12,2.6
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""","*","*","*","*",7,1.9,"*","*",15,4.3
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",76,6.3,78,6.4,71,6.0,54,4.8,52,4.6
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""","N/A","N/A","N/A","N/A","N/A","N/A","*","*",8,29.6
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Regional School District 19","=""2190012""","STAAR Program","=""2190312""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","*"
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","District Program BMES","=""1180111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Ridgefield School District","=""1180011""","District Program ERMS","=""1181011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Ridgefield School District","=""1180011""","District Program RES","=""1180711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
