"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"0621111","0620011","Hamden School District","Ridge Hill School","ELL","0.0","*","*","*","*"
"0621111","0620011","Hamden School District","Ridge Hill School","Non-ELL","15.4","*","*","*","*"
"0620111","0620011","Hamden School District","Shepherd Glen School","ELL","*","31.8","*","13.7","15.7"
"0620111","0620011","Hamden School District","Shepherd Glen School","Non-ELL","*","10.5","*","10.8","9.8"
"0621011","0620011","Hamden School District","Spring Glen School","ELL","*","*","*","*","*"
"0621011","0620011","Hamden School District","Spring Glen School","Non-ELL","*","*","*","*","*"
"0621411","0620011","Hamden School District","West Woods School","ELL","*","*","*","*","*"
"0621411","0620011","Hamden School District","West Woods School","Non-ELL","*","*","*","*","*"
"0630111","0630011","Hampton School District","Hampton Elementary School","Non-ELL","5.8","*","*","6.8","7.9"
"0647911","0640011","Hartford School District","Great Path Academy at MCC","ELL","","","","*","*"
"0647911","0640011","Hartford School District","Great Path Academy at MCC","Non-ELL","","","","*","*"
"0640711","0640011","Hartford School District","Asian Studies Academy","ELL","28.2","26.9","28.6","",""
"0640711","0640011","Hartford School District","Asian Studies Academy","Non-ELL","27.1","30.4","28.0","",""
"0640711","0640011","Hartford School District","Asian Studies Academy at Bellizzi School","ELL","","","","47.0","37.1"
"0640711","0640011","Hartford School District","Asian Studies Academy at Bellizzi School","Non-ELL","","","","36.5","33.7"
"0644511","0640011","Hartford School District","Autism Program - Clark School","ELL","","","","*",""
"0644511","0640011","Hartford School District","Autism Program - Clark School","Non-ELL","","","","*",""
"0644311","0640011","Hartford School District","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","ELL","","","","*","*"
"0644311","0640011","Hartford School District","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","Non-ELL","","","","*","*"
"0644211","0640011","Hartford School District","Autism Program - Fred D. Wish Museum School","ELL","","","","*",""
"0644211","0640011","Hartford School District","Autism Program - Fred D. Wish Museum School","Non-ELL","","","","*",""
"0644411","0640011","Hartford School District","Autism Program - Sarah J. Rawson Elementary School","ELL","","","","*","*"
"0644411","0640011","Hartford School District","Autism Program - Sarah J. Rawson Elementary School","Non-ELL","","","","*","*"
"0649311","0640011","Hartford School District","Autism Program - Simpson-Waverly","ELL","","","","","*"
"0649311","0640011","Hartford School District","Autism Program - Simpson-Waverly","Non-ELL","","","","","*"
"0648611","0640011","Hartford School District","Autism Program-Burr School","ELL","","","","","*"
"0648611","0640011","Hartford School District","Autism Program-Burr School","Non-ELL","","","","","*"
"0640411","0640011","Hartford School District","Batchelder School","ELL","23.9","27.4","25.0","18.2","27.8"
"0640411","0640011","Hartford School District","Batchelder School","Non-ELL","15.7","23.0","28.3","18.4","20.0"
"0642811","0640011","Hartford School District","Betances Early Reading Lab Magnet School","ELL","","","","*","17.6"
"0642811","0640011","Hartford School District","Betances Early Reading Lab Magnet School","Non-ELL","","","","*","16.4"
"0643511","0640011","Hartford School District","Breakthrough II Elementary School","ELL","*","*","*","",""
"0643511","0640011","Hartford School District","Breakthrough II Elementary School","Non-ELL","*","*","*","",""
"0643511","0640011","Hartford School District","Breakthrough II Magnet School","ELL","","","","*","*"
"0643511","0640011","Hartford School District","Breakthrough II Magnet School","Non-ELL","","","","*","*"
"0643311","0640011","Hartford School District","Breakthrough Magnet School","ELL","*","*","0.0","*","*"
"0643311","0640011","Hartford School District","Breakthrough Magnet School","Non-ELL","*","*","5.0","*","*"
"0646111","0640011","Hartford School District","Bulkeley High School Lower School","ELL","54.7","45.1","41.4","50.6","45.6"
"0646111","0640011","Hartford School District","Bulkeley High School Lower School","Non-ELL","44.9","43.8","41.2","52.9","44.1"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","ELL","42.3","48.1","52.1","46.4","37.4"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","Non-ELL","49.3","51.4","52.2","55.5","54.4"
"0640611","0640011","Hartford School District","Burns Latino Studies Academy","ELL","55.9","49.0","31.4","32.9","34.6"
"0640611","0640011","Hartford School District","Burns Latino Studies Academy","Non-ELL","43.9","41.0","32.7","36.1","33.8"
"0642311","0640011","Hartford School District","Burr School","ELL","27.3","19.6","32.9","27.1","28.0"
"0642311","0640011","Hartford School District","Burr School","Non-ELL","25.1","18.2","24.8","24.3","20.6"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","ELL","","","","*","*"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","Non-ELL","","","","*","*"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","ELL","*","*","*","0.0","*"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","Non-ELL","*","*","*","4.7","*"
"0642411","0640011","Hartford School District","Clark School","ELL","44.1","61.5","45.6","46.5","40.8"
"0642411","0640011","Hartford School District","Clark School","Non-ELL","39.1","42.9","36.2","35.9","24.7"
"0646411","0640011","Hartford School District","Classical Magnet School","ELL","*","*","0.0","*","*"
"0646411","0640011","Hartford School District","Classical Magnet School","Non-ELL","*","*","4.8","*","*"
"0646011","0640011","Hartford School District","Culinary Arts Academy","ELL","63.6","66.7","65.1","50.0","64.0"
"0646011","0640011","Hartford School District","Culinary Arts Academy","Non-ELL","54.9","69.2","57.0","57.6","64.6"
"0641411","0640011","Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","ELL","22.8","15.7","26.6","21.7","19.1"
"0641411","0640011","Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","Non-ELL","17.2","16.2","21.3","22.0","19.8"
"0645311","0640011","Hartford School District","Dr. Joseph Bellizzi Middle School","ELL","*","*","","",""
"0645311","0640011","Hartford School District","Dr. Joseph Bellizzi Middle School","Non-ELL","*","*","","",""
"0642811","0640011","Hartford School District","Dr. Ramon E. Betances Early Reading Lab","ELL","44.2","45.9","50.0","",""
"0642811","0640011","Hartford School District","Dr. Ramon E. Betances Early Reading Lab","Non-ELL","41.3","36.0","33.5","",""
"0645811","0640011","Hartford School District","EDP - Betances Early Reading Lab","ELL","","","","*","*"
"0645811","0640011","Hartford School District","EDP - Betances Early Reading Lab","Non-ELL","","","","*","*"
"0648311","0640011","Hartford School District","EDP - Bulkeley High School","ELL","","","","*","*"
"0648311","0640011","Hartford School District","EDP - Bulkeley High School","Non-ELL","","","","*","*"
"0648211","0640011","Hartford School District","EDP - HPHS Academy of Engineering and Green Technology","ELL","","","","*","*"
"0648211","0640011","Hartford School District","EDP - HPHS Academy of Engineering and Green Technology","Non-ELL","","","","*","*"
"0645911","0640011","Hartford School District","EDP - M.D. Fox","ELL","","","","*","*"
"0645911","0640011","Hartford School District","EDP - M.D. Fox","Non-ELL","","","","*","*"
"0648111","0640011","Hartford School District","EDP - McDonough Expeditionary Learning School","ELL","","","","*","*"
"0648111","0640011","Hartford School District","EDP - McDonough Expeditionary Learning School","Non-ELL","","","","*","*"
"0640911","0640011","Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","ELL","*","*","19.4","*","*"
"0640911","0640011","Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","Non-ELL","*","*","9.0","*","*"
"0643211","0640011","Hartford School District","Expeditionary Learning Academy at Moylan School","ELL","25.8","26.1","*","23.1","21.8"
"0643211","0640011","Hartford School District","Expeditionary Learning Academy at Moylan School","Non-ELL","29.6","19.9","*","27.1","19.6"
"0642211","0640011","Hartford School District","Fred D. Wish Museum School","ELL","47.9","47.1","34.0","26.0","29.5"
"0642211","0640011","Hartford School District","Fred D. Wish Museum School","Non-ELL","20.3","22.9","25.0","27.1","24.7"
"0643611","0640011","Hartford School District","Global Communications Academy","ELL","*","33.3","30.0","16.9","17.2"
"0643611","0640011","Hartford School District","Global Communications Academy","Non-ELL","*","19.3","16.5","7.4","11.5"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","ELL","","*","*","",""
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","Non-ELL","","*","*","",""
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","ELL","60.0","64.9","62.8","68.4","40.4"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","Non-ELL","65.9","60.4","60.4","62.6","42.8"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","ELL","70.0","66.1","64.8","63.6","60.0"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","Non-ELL","54.5","61.3","68.1","65.1","56.1"
"0647311","0640011","Hartford School District","HPHS Freshmen Academy","ELL","67.9","","","",""
"0647311","0640011","Hartford School District","HPHS Freshmen Academy","Non-ELL","60.7","","","",""
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","ELL","42.1","50.5","52.6","66.7","48.0"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","Non-ELL","46.3","52.0","49.6","62.5","45.8"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","ELL","*","*","14.0","10.3","16.9"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","Non-ELL","*","*","6.9","7.6","8.3"
"0649011","0640011","Hartford School District","Hartford Transitional Learning Academy (Elementary)","ELL","*","*","*","",""
"0649011","0640011","Hartford School District","Hartford Transitional Learning Academy (Elementary)","Non-ELL","*","*","*","",""
"0647611","0640011","Hartford School District","High School Inc.","ELL","53.7","44.2","48.8","56.4",""
"0647611","0640011","Hartford School District","High School Inc.","Non-ELL","55.6","47.2","53.9","49.0",""
"0647611","0640011","Hartford School District","High School, Inc.","ELL","","","","","59.5"
"0647611","0640011","Hartford School District","High School, Inc.","Non-ELL","","","","","51.9"
"0648411","0640011","Hartford School District","High Step Transition","ELL","","","","*","*"
"0648411","0640011","Hartford School District","High Step Transition","Non-ELL","","","","*","*"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","ELL","40.0","48.3","40.0","*","*"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","Non-ELL","62.4","67.3","50.7","*","*"
"0641011","0640011","Hartford School District","Kennelly School","ELL","21.3","29.2","24.7","26.0","23.3"
"0641011","0640011","Hartford School District","Kennelly School","Non-ELL","16.5","18.3","21.1","25.4","23.7"
"0641111","0640011","Hartford School District","Kinsella Magnet School of Performing Arts","ELL","","","","","*"
"0641111","0640011","Hartford School District","Kinsella Magnet School of Performing Arts","Non-ELL","","","","","*"
"0649511","0640011","Hartford School District","LC - Breakthrough II","ELL","","","","","*"
"0649511","0640011","Hartford School District","LC - Breakthrough II","Non-ELL","","","","","*"
