"school_code","district_code","district","school","grade","2011_12","2012_13","2013_14","2014_15","2015_16"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Grade 12","","","","*","*"
"3480115","0140011","Branford School District","Bridgeport Detention Center","Grade   9","","","","","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Grade   5","6.8","3.8","3.8","6.2","4.9"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Grade   6","5.7","6.0","6.9","7.9","6.7"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Grade   7","8.3","5.3","7.4","8.2","8.4"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Grade   8","9.8","11.8","8.5","10.6","8.8"
"0141611","0140011","Branford School District","John B. Sliney School","Kindergarten","*","11.0","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Grade   1","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Grade   2","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Grade   3","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Grade   4","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Kindergarten","*","*","*","*","11.6"
"0141511","0140011","Branford School District","Mary R. Tisko School","Grade   1","8.9","*","*","0.0","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Grade   2","*","9.0","0.0","0.0","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Grade   3","*","*","*","*","*"
