"category","fte","school_id","year"
"Instructional Specialists Who Support Teachers ",1,"1516311","201415"
"Counselors, Social Workers and School Psychologists ",7.8,"1516311","201415"
"School Nurses ",1,"1516311","201415"
"Other Staff Providing Non-Instructional Services/Support ",14.5,"1516311","201415"
"General Education: Teachers and Instructors ",79.8,"1516311","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"1516311","201516"
"Special Education: Teachers and Instructors ",14.8,"1516311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",21,"1516311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",5.8,"1516311","201516"
"Library/Media: Specialists (Certified) ",1,"1516311","201516"
"Support Staff ",1,"1516311","201516"
"Instructional Specialists Who Support Teachers ",1,"1516311","201516"
"Counselors, Social Workers and School Psychologists ",7,"1516311","201516"
"School Nurses ",1,"1516311","201516"
"Other Staff Providing Non-Instructional Services/Support ",28.5,"1516311","201516"
"General Education: Teachers and Instructors ",87.2,"1516411","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"1516411","201314"
"Special Education: Teachers and Instructors ",10,"1516411","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",21,"1516411","201314"
"Administrators, Coordinators and Department Chairs: School Level ",6.8,"1516411","201314"
"Library/Media: Specialists (Certified) ",1,"1516411","201314"
"Support Staff ",1,"1516411","201314"
"Instructional Specialists Who Support Teachers ",2,"1516411","201314"
"Counselors, Social Workers and School Psychologists ",7,"1516411","201314"
"School Nurses ",1,"1516411","201314"
"Other Staff Providing Non-Instructional Services/Support ",38,"1516411","201314"
"General Education: Teachers and Instructors ",81,"1516411","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"1516411","201415"
"Special Education: Teachers and Instructors ",11.4,"1516411","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",18,"1516411","201415"
"Administrators, Coordinators and Department Chairs: School Level ",5.4,"1516411","201415"
"Library/Media: Specialists (Certified) ",1,"1516411","201415"
"Support Staff ",1,"1516411","201415"
"Instructional Specialists Who Support Teachers ",2,"1516411","201415"
"Counselors, Social Workers and School Psychologists ",8,"1516411","201415"
"School Nurses ",1,"1516411","201415"
"Other Staff Providing Non-Instructional Services/Support ",34.4,"1516411","201415"
"General Education: Teachers and Instructors ",81.4,"1516411","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"1516411","201516"
"Special Education: Teachers and Instructors ",13.4,"1516411","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",16,"1516411","201516"
"Administrators, Coordinators and Department Chairs: School Level ",5.4,"1516411","201516"
"Library/Media: Specialists (Certified) ",1,"1516411","201516"
"Support Staff ",1,"1516411","201516"
"Instructional Specialists Who Support Teachers ",2,"1516411","201516"
"Counselors, Social Workers and School Psychologists ",7,"1516411","201516"
"School Nurses ",1,"1516411","201516"
"Other Staff Providing Non-Instructional Services/Support ",35.9,"1516411","201516"
"General Education: Teachers and Instructors ",18,"1516711","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"1516711","201314"
"Special Education: Teachers and Instructors ",0.8,"1516711","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",1,"1516711","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1.2,"1516711","201314"
"Library/Media: Specialists (Certified) ",0,"1516711","201314"
"Support Staff ",0,"1516711","201314"
"Instructional Specialists Who Support Teachers ",0,"1516711","201314"
"Counselors, Social Workers and School Psychologists ",2.5,"1516711","201314"
"School Nurses ",0.5,"1516711","201314"
"Other Staff Providing Non-Instructional Services/Support ",10,"1516711","201314"
"General Education: Teachers and Instructors ",35,"1516711","201415"
"General Education: Paraprofessional Instructional Assistants ",1,"1516711","201415"
"Special Education: Teachers and Instructors ",2,"1516711","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",2,"1516711","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1516711","201415"
"Library/Media: Specialists (Certified) ",0,"1516711","201415"
"Support Staff ",0,"1516711","201415"
"Instructional Specialists Who Support Teachers ",1,"1516711","201415"
"Counselors, Social Workers and School Psychologists ",5,"1516711","201415"
"School Nurses ",1,"1516711","201415"
"Other Staff Providing Non-Instructional Services/Support ",15.9,"1516711","201415"
"General Education: Teachers and Instructors ",51,"1516711","201516"
"General Education: Paraprofessional Instructional Assistants ",1,"1516711","201516"
"Special Education: Teachers and Instructors ",2,"1516711","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3,"1516711","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"1516711","201516"
"Library/Media: Specialists (Certified) ",0,"1516711","201516"
"Support Staff ",0,"1516711","201516"
"Instructional Specialists Who Support Teachers ",1,"1516711","201516"
"Counselors, Social Workers and School Psychologists ",3,"1516711","201516"
"School Nurses ",1,"1516711","201516"
"Other Staff Providing Non-Instructional Services/Support ",17.5,"1516711","201516"
"General Education: Teachers and Instructors ",19.6,"1520211","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"1520211","201314"
"Special Education: Teachers and Instructors ",4.5,"1520211","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"1520211","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1520211","201314"
"Library/Media: Specialists (Certified) ",0,"1520211","201314"
"Support Staff ",1,"1520211","201314"
"Instructional Specialists Who Support Teachers ",2.1,"1520211","201314"
"Counselors, Social Workers and School Psychologists ",1.7,"1520211","201314"
"School Nurses ",1,"1520211","201314"
"Other Staff Providing Non-Instructional Services/Support ",9.5,"1520211","201314"
"General Education: Teachers and Instructors ",23.4,"1520211","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"1520211","201415"
"Special Education: Teachers and Instructors ",4.3,"1520211","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"1520211","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1520211","201415"
"Library/Media: Specialists (Certified) ",0,"1520211","201415"
"Support Staff ",1,"1520211","201415"
"Instructional Specialists Who Support Teachers ",2,"1520211","201415"
"Counselors, Social Workers and School Psychologists ",1,"1520211","201415"
"School Nurses ",1,"1520211","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.5,"1520211","201415"
"General Education: Teachers and Instructors ",22.7,"1520211","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"1520211","201516"
"Special Education: Teachers and Instructors ",4.6,"1520211","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"1520211","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1520211","201516"
"Library/Media: Specialists (Certified) ",0,"1520211","201516"
"Support Staff ",1,"1520211","201516"
"Instructional Specialists Who Support Teachers ",2.3,"1520211","201516"
"Counselors, Social Workers and School Psychologists ",1,"1520211","201516"
"School Nurses ",1,"1520211","201516"
"Other Staff Providing Non-Instructional Services/Support ",9.5,"1520211","201516"
"General Education: Teachers and Instructors ",27.2,"1520611","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"1520611","201314"
"Special Education: Teachers and Instructors ",5.4,"1520611","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"1520611","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1520611","201314"
"Library/Media: Specialists (Certified) ",0,"1520611","201314"
"Support Staff ",1,"1520611","201314"
"Instructional Specialists Who Support Teachers ",1.9,"1520611","201314"
"Counselors, Social Workers and School Psychologists ",1.7,"1520611","201314"
"School Nurses ",1,"1520611","201314"
"Other Staff Providing Non-Instructional Services/Support ",9.7,"1520611","201314"
"General Education: Teachers and Instructors ",24.5,"1520611","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"1520611","201415"
"Special Education: Teachers and Instructors ",6.3,"1520611","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12,"1520611","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1520611","201415"
"Library/Media: Specialists (Certified) ",0,"1520611","201415"
"Support Staff ",1,"1520611","201415"
"Instructional Specialists Who Support Teachers ",2.6,"1520611","201415"
"Counselors, Social Workers and School Psychologists ",3.5,"1520611","201415"
"School Nurses ",1,"1520611","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.7,"1520611","201415"
"General Education: Teachers and Instructors ",23.7,"1520611","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"1520611","201516"
"Special Education: Teachers and Instructors ",4.1,"1520611","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"1520611","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1520611","201516"
"Library/Media: Specialists (Certified) ",0,"1520611","201516"
"Support Staff ",1,"1520611","201516"
"Instructional Specialists Who Support Teachers ",3.2,"1520611","201516"
"Counselors, Social Workers and School Psychologists ",3.5,"1520611","201516"
"School Nurses ",0.9,"1520611","201516"
"Other Staff Providing Non-Instructional Services/Support ",9.6,"1520611","201516"
"General Education: Teachers and Instructors ",23.5,"1520711","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"1520711","201314"
"Special Education: Teachers and Instructors ",4.5,"1520711","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"1520711","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1520711","201314"
"Library/Media: Specialists (Certified) ",0,"1520711","201314"
"Support Staff ",1,"1520711","201314"
"Instructional Specialists Who Support Teachers ",2.3,"1520711","201314"
"Counselors, Social Workers and School Psychologists ",1.7,"1520711","201314"
"School Nurses ",1,"1520711","201314"
"Other Staff Providing Non-Instructional Services/Support ",9.9,"1520711","201314"
"General Education: Teachers and Instructors ",24.4,"1520711","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"1520711","201415"
"Special Education: Teachers and Instructors ",4.3,"1520711","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"1520711","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1520711","201415"
"Library/Media: Specialists (Certified) ",0,"1520711","201415"
"Support Staff ",1,"1520711","201415"
"Instructional Specialists Who Support Teachers ",4.4,"1520711","201415"
"Counselors, Social Workers and School Psychologists ",2,"1520711","201415"
"School Nurses ",1,"1520711","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.9,"1520711","201415"
"General Education: Teachers and Instructors ",25.7,"1520711","201516"
