"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",05,38,38,100.0,38,10,26.3,8,21.1,12,31.6,"*","*","*","*",8,21.1,217
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",05,67,67,100.0,67,9,13.4,6,9.0,22,32.8,22,32.8,8,11.9,30,44.8,242
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",08,377,376,99.7,376,99,26.3,59,15.7,86,22.9,122,32.4,10,2.7,132,35.1,228
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",05,38,38,100.0,38,"*","*","*","*",9,23.7,16,42.1,"*","*","*","*",243
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",08,38,37,97.4,37,"*","*","*","*",6,16.2,18,48.6,"*","*","*","*",261
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",05,90,90,100.0,90,"*","*","*","*",11,12.2,49,54.4,22,24.4,71,78.9,272
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",08,121,121,100.0,121,"*","*","*","*",16,13.2,71,58.7,24,19.8,95,78.5,269
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",10,110,108,98.2,108,"*","*","*","*",25,23.1,33,30.6,41,38.0,74,68.5,280
"Orange School District","=""1070011""","Race Brook School","=""1070311""",05,63,62,98.4,62,"*","*","*","*","*","*",30,48.4,23,37.1,53,85.5,284
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",05,46,46,100.0,46,"*","*",0,0.0,"*","*",18,39.1,20,43.5,38,82.6,288
"Orange School District","=""1070011""","Peck Place School","=""1070511""",05,62,62,100.0,62,0,0.0,"*","*","*","*",35,56.5,19,30.6,54,87.1,285
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",05,173,173,100.0,173,"*","*","*","*",25,14.5,82,47.4,56,32.4,138,79.8,281
"Oxford School District","=""1080011""","Alternative Education","=""1080411""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Alternative Education","=""1080411""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",08,166,166,100.0,166,10,6.0,12,7.2,32,19.3,79,47.6,33,19.9,112,67.5,266
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",10,138,138,100.0,137,6,4.4,6,4.4,36,26.3,28,20.4,61,44.5,89,65.0,284
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",05,93,93,100.0,93,"*","*",24,25.8,21,22.6,22,23.7,"*","*","*","*",221
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",08,83,81,97.6,81,13,16.0,"*","*",20,24.7,34,42.0,"*","*","*","*",243
"Path Academy District","=""2930013""","Path Academy","=""2930113""",10,45,22,48.9,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",05,163,162,99.4,162,13,8.0,20,12.3,43,26.5,70,43.2,16,9.9,86,53.1,249
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",08,184,183,99.5,183,16,8.7,22,12.0,37,20.2,90,49.2,18,9.8,108,59.0,252
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",10,169,163,96.4,162,31,19.1,31,19.1,62,38.3,23,14.2,15,9.3,38,23.5,233
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",05,73,73,100.0,73,"*","*","*","*",17,23.3,36,49.3,11,15.1,47,64.4,260
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",05,42,42,100.0,42,"*","*",7,16.7,"*","*",20,47.6,10,23.8,30,71.4,263
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",05,52,52,100.0,52,"*","*","*","*",8,15.4,33,63.5,"*","*","*","*",259
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",08,168,166,98.8,166,15,9.0,9,5.4,21,12.7,78,47.0,43,25.9,121,72.9,268
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",10,169,163,96.4,163,18,11.0,20,12.3,44,27.0,46,28.2,35,21.5,81,49.7,254
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",05,56,56,100.0,56,"*","*",0,0.0,"*","*",26,46.4,18,32.1,44,78.6,279
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",05,50,50,100.0,50,"*","*",6,12.0,11,22.0,25,50.0,"*","*","*","*",247
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",08,109,107,98.2,107,13,12.1,12,11.2,22,20.6,53,49.5,7,6.5,60,56.1,247
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",10,127,125,98.4,125,15,12.0,27,21.6,38,30.4,29,23.2,16,12.8,45,36.0,241
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",05,53,53,100.0,53,0,0.0,"*","*","*","*",27,50.9,14,26.4,41,77.4,277
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",08,55,55,100.0,55,"*","*","*","*",7,12.7,33,60.0,12,21.8,45,81.8,269
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",05,114,113,99.1,113,"*","*","*","*",17,15.0,61,54.0,25,22.1,86,76.1,270
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",08,109,109,100.0,109,"*","*","*","*",14,12.8,61,56.0,26,23.9,87,79.8,274
"Portland School District","=""1130011""","Portland High School","=""1136111""",10,92,92,100.0,92,"*","*","*","*",29,31.5,24,26.1,29,31.5,53,57.6,275
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",05,42,41,97.6,41,"*","*","*","*",8,19.5,19,46.3,10,24.4,29,70.7,269
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",08,54,54,100.0,54,"*","*","*","*",9,16.7,25,46.3,13,24.1,38,70.4,267
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",05,92,88,95.7,88,13,14.8,12,13.6,22,25.0,33,37.5,8,9.1,41,46.6,239
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",08,92,90,97.8,90,22,24.4,"*","*",18,20.0,37,41.1,"*","*","*","*",232
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",10,67,67,100.0,67,11,16.4,12,17.9,29,43.3,8,11.9,7,10.4,15,22.4,234
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",05,99,96,97.0,96,"*","*","*","*",6,6.3,47,49.0,40,41.7,87,90.6,293
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",08,119,117,98.3,117,"*","*","*","*",9,7.7,61,52.1,36,30.8,97,82.9,279
"Regional School District 01","=""2010012""","SELC","=""2010312""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","SELC","=""2010312""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","ALPSS","=""2010512""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","ALPSS","=""2010512""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",10,91,89,97.8,89,"*","*",14,15.7,38,42.7,20,22.5,"*","*","*","*",253
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",08,161,161,100.0,161,"*","*","*","*",18,11.2,77,47.8,57,35.4,134,83.2,280
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",10,153,152,99.3,152,"*","*","*","*",40,26.3,36,23.7,69,45.4,105,69.1,289
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",08,189,188,99.5,188,"*","*","*","*",16,8.5,95,50.5,67,35.6,162,86.2,284
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",08,188,185,98.4,185,11,5.9,10,5.4,28,15.1,95,51.4,41,22.2,136,73.5,268
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",10,358,357,99.7,356,"*","*","*","*",67,18.8,85,23.9,189,53.1,274,77.0,296
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",05,25,24,96.0,24,"*","*","*","*","*","*",6,25.0,11,45.8,17,70.8,277
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",05,19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",08,78,76,97.4,76,"*","*","*","*",9,11.8,45,59.2,14,18.4,59,77.6,266
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",10,116,115,99.1,115,6,5.2,15,13.0,39,33.9,30,26.1,25,21.7,55,47.8,261
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",08,140,140,100.0,140,0,0.0,"*","*","*","*",67,47.9,62,44.3,129,92.1,294
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",10,169,169,100.0,169,0,0.0,8,4.7,44,26.0,47,27.8,70,41.4,117,69.2,285
"Regional School District 07","=""2070012""","FLEX","=""2079012""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","AIM","=""2079112""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","Links","=""2079212""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","Links","=""2079212""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","STEP","=""2079312""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","STEP","=""2079312""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",08,281,281,100.0,281,11,3.9,13,4.6,"*","*",157,55.9,"*","*","*","*",268
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",10,"*","*","*","*","*","*","*","*",71,26.3,"*","*",99,36.7,"*","*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",10,241,235,97.5,233,0,0.0,"*","*","*","*",58,24.9,123,52.8,181,77.7,297
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",05,184,183,99.5,183,"*","*",15,8.2,29,15.8,108,59.0,"*","*","*","*",265
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",08,"*","*","*","*",8,4.7,"*","*","*","*",99,58.2,30,17.6,"*","*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",10,201,201,100.0,201,"*","*",12,6.0,43,21.4,"*","*",92,45.8,"*","*",286
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",08,41,41,100.0,41,"*","*","*","*","*","*",25,61.0,"*","*","*","*",252
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",10,29,29,100.0,29,"*","*","*","*","*","*",7,24.1,"*","*","*","*",267
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",05,13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",08,63,63,100.0,63,"*","*","*","*",6,9.5,32,50.8,23,36.5,55,87.3,285
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",10,62,62,100.0,62,"*","*","*","*",9,14.5,17,27.4,26,41.9,43,69.4,283
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",05,15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",05,139,138,99.3,138,"*","*","*","*",19,13.8,67,48.6,43,31.2,110,79.7,277
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",08,156,155,99.4,155,"*","*","*","*",18,11.6,81,52.3,45,29.0,126,81.3,279
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",10,126,123,97.6,123,"*","*","*","*",24,19.5,32,26.0,61,49.6,93,75.6,298
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",05,57,57,100.0,57,0,0.0,"*","*","*","*",33,57.9,13,22.8,46,80.7,276
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",05,74,74,100.0,74,"*","*","*","*",10,13.5,35,47.3,22,29.7,57,77.0,274
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",08,102,101,99.0,101,"*","*","*","*",17,16.8,58,57.4,19,18.8,77,76.2,267
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",10,191,190,99.5,190,"*","*","*","*",58,30.5,49,25.8,65,34.2,114,60.0,277
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",05,69,69,100.0,69,"*","*","*","*",9,13.0,40,58.0,18,26.1,58,84.1,280
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",05,64,64,100.0,64,0,0.0,"*","*","*","*",39,60.9,21,32.8,60,93.8,289
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",05,72,72,100.0,72,"*","*","*","*",7,9.7,33,45.8,27,37.5,60,83.3,286
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",05,78,78,100.0,78,"*","*","*","*",9,11.5,35,44.9,31,39.7,66,84.6,286
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",08,193,193,100.0,193,"*","*","*","*",25,13.0,106,54.9,51,26.4,157,81.3,278
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",08,154,153,99.4,153,"*","*","*","*",21,13.7,80,52.3,44,28.8,124,81.0,276
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",10,287,280,97.6,280,"*","*","*","*",46,16.4,89,31.8,136,48.6,225,80.4,295
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",05,62,61,98.4,61,"*","*","*","*","*","*",27,44.3,27,44.3,54,88.5,291
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",05,105,103,98.1,103,"*","*","*","*",35,34.0,44,42.7,15,14.6,59,57.3,256
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",08,194,191,98.5,191,"*","*",13,6.8,"*","*",107,56.0,29,15.2,136,71.2,260
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",10,172,172,100.0,172,17,9.9,16,9.3,60,34.9,39,22.7,40,23.3,79,45.9,258
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",05,186,184,98.9,184,"*","*","*","*",26,14.1,82,44.6,68,37.0,150,81.5,287
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",08,186,184,98.9,184,9,4.9,9,4.9,18,9.8,89,48.4,59,32.1,148,80.4,277
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",10,165,162,98.2,162,"*","*","*","*",37,22.8,41,25.3,77,47.5,118,72.8,293
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",05,39,39,100.0,39,0,0.0,"*","*","*","*",20,51.3,9,23.1,29,74.4,271
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",05,61,61,100.0,61,"*","*","*","*","*","*",31,50.8,24,39.3,55,90.2,289
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""",08,129,129,100.0,129,0,0.0,6,4.7,14,10.9,62,48.1,47,36.4,109,84.5,284
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",10,116,116,100.0,116,"*","*","*","*",27,23.3,29,25.0,49,42.2,78,67.2,283
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",10,7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",10,290,286,98.6,286,13,4.5,22,7.7,81,28.3,63,22.0,107,37.4,170,59.4,277
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",05,55,55,100.0,55,"*","*","*","*",7,12.7,22,40.0,24,43.6,46,83.6,291
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",05,70,70,100.0,70,"*","*","*","*","*","*",20,28.6,42,60.0,62,88.6,302
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""",05,64,64,100.0,64,0,0.0,"*","*","*","*",41,64.1,16,25.0,57,89.1,278
